,acc,ch1,ch2,ch3,ch4,ch5
112,0.0,0.09270000000000002,0.04205,0.33815,3.2679,0.27630000000000005
113,0.0,0.12175,0.0793,0.26589999999999997,5.6034999999999995,0.38650000000000007
114,0.0,0.062049999999999994,0.05595,0.17259999999999998,5.546899999999999,0.1051
115,0.0,0.05765,0.06334999999999999,0.1181,4.9032,0.13465
116,0.0,0.05354999999999999,0.047499999999999994,0.0833,3.84825,0.09095
117,0.0,0.07645,0.06565,0.09,5.4902,0.14375000000000002
118,0.0,0.061,0.055349999999999996,0.0684,5.480700000000001,0.0976
119,0.0,0.04945,0.05814999999999999,0.05140000000000001,3.81565,0.11495
120,0.0,0.0438,0.0475,0.03730000000000001,4.0808,0.049100000000000005
121,0.0,0.062499999999999986,0.0648,0.09095,4.8781500000000015,0.0924
122,0.0,0.04765,0.047349999999999996,0.0818,4.6288,0.04255
123,0.0,0.05285,0.046349999999999995,0.08745,3.8126499999999997,0.08105000000000001
124,0.0,0.11759999999999998,0.09555000000000001,0.1834,7.6234,0.1373
125,0.0,0.11110000000000002,0.06640000000000001,4.88545,1.60485,0.12855
126,0.0,0.13025,0.0654,6.1492,0.07295,0.0594
127,0.0,0.07275000000000001,0.0548,2.4484500000000002,0.10175,0.11435000000000001
128,0.0,0.0433,0.041199999999999994,3.0107500000000003,0.11225,0.0611
129,0.0,0.048850000000000005,0.0324,4.924849999999999,0.1559,0.09675
130,0.0,0.07680000000000001,0.058750000000000004,6.006200000000001,0.10429999999999999,0.0646
131,0.0,0.051050000000000005,0.04909999999999999,0.09120000000000002,0.043699999999999996,0.036000000000000004
132,0.0,0.01765,0.018050000000000004,0.01905,0.015649999999999997,0.01425
133,0.0,0.0056500000000000005,0.006300000000000001,0.00745,0.007599999999999999,0.0049
134,0.0,0.0078000000000000005,0.003149999999999999,0.00605,0.00915,0.006199999999999998
135,0.0,0.0043,0.004400000000000001,0.004,0.009350000000000002,0.0037500000000000003
136,0.0,0.004149999999999999,0.005200000000000001,0.0059499999999999996,0.006750000000000001,0.006449999999999999
137,0.0,0.004999999999999999,0.00435,0.006049999999999999,0.007300000000000001,0.00985
138,0.0,0.0056999999999999985,0.003100000000000001,0.004999999999999999,0.0059499999999999996,0.00825
139,0.0,0.00575,0.00425,0.0073999999999999995,0.007350000000000001,0.00465
140,0.0,0.0039000000000000003,0.00355,0.0106,0.00735,0.0066
141,0.0,0.004450000000000002,0.006100000000000003,0.005550000000000001,0.006,0.004
142,0.0,0.005100000000000002,0.0045499999999999985,0.004550000000000002,0.006549999999999999,0.00435
143,0.0,0.00345,0.004299999999999998,0.00575,0.0042,0.0035499999999999998
144,0.0,0.0032000000000000006,0.004399999999999999,0.0036000000000000008,0.008350000000000002,0.006400000000000001
145,0.0,0.00425,0.004600000000000001,0.0029500000000000004,0.01035,0.005050000000000001
146,0.0,0.0029500000000000004,0.0102,0.0040999999999999995,0.0079,0.00665
147,0.0,0.0058,0.013450000000000002,0.010250000000000002,0.01175,0.0072
148,0.0,0.0211,0.012100000000000001,1.0101,0.06720000000000001,0.06219999999999999
149,0.0,0.10339999999999999,0.05190000000000001,4.0672,0.1528,0.15669999999999998
150,0.0,0.1029,0.11465000000000002,8.267050000000001,0.11605000000000001,0.18089999999999998
151,0.0,0.06274999999999999,0.0487,3.48175,0.09895000000000001,0.03435
152,0.0,0.0482,0.055400000000000005,5.01985,0.10189999999999999,0.08745
153,0.0,0.05505,0.0343,1.5713,0.0741,0.07615000000000001
154,0.0,0.0737,0.06,5.619400000000001,0.10975000000000001,0.12840000000000001
155,0.0,0.051000000000000004,0.025400000000000002,0.9792,0.6886,0.12235
156,0.0,0.18744999999999998,0.1237,0.51805,4.726999999999999,0.1527
157,0.0,0.1082,0.11539999999999999,0.1427,8.4943,0.11830000000000002
158,0.0,0.07894999999999999,0.0737,0.08574999999999999,5.1107,0.14975
159,0.0,0.1142,0.09115000000000001,0.1299,7.1823500000000005,0.24375
160,0.0,0.0977,0.0819,0.08334999999999998,6.36235,0.11120000000000002
161,0.0,0.0609,0.061649999999999996,0.0555,5.4784999999999995,0.11195
162,0.0,0.09624999999999999,0.07365,0.08760000000000001,4.408399999999999,0.9222
163,0.0,0.08264999999999999,0.0458,0.18679999999999997,1.0224,0.67505
164,0.0,0.2437,0.0589,2.07785,0.19284999999999997,1.6005500000000001
165,0.0,0.10659999999999999,0.02715,0.17625,0.36735000000000007,1.2097
166,0.0,0.0484,0.012650000000000002,0.22215000000000001,0.2756,0.8563499999999998
167,0.0,0.025700000000000004,0.01095,0.08580000000000002,0.18615000000000004,0.8162
168,0.0,0.038450000000000005,0.01845,0.09444999999999999,0.30724999999999997,1.5392
169,0.0,0.03475,0.018150000000000003,0.16419999999999996,0.17785,1.0281500000000001
170,0.0,0.028200000000000003,0.014650000000000002,0.17105,0.14684999999999998,1.34175
171,0.0,0.020050000000000002,0.010350000000000002,0.10755,0.13505,0.7111
172,0.0,0.020599999999999997,0.008349999999999998,0.09009999999999999,0.09545,0.6623999999999999
173,0.0,0.026599999999999995,0.00945,0.09025,0.15304999999999996,0.57985
174,0.0,0.03055,0.02,0.1547,0.1884,1.1559000000000001
175,0.0,0.05624999999999999,0.0142,0.1256,0.25429999999999997,1.0286000000000002
176,0.0,0.03375,0.015300000000000001,0.07750000000000001,0.11065,0.6982999999999999
177,0.0,0.022200000000000004,0.014499999999999999,0.12044999999999999,0.14959999999999998,0.8962000000000001
178,0.0,0.0271,0.021699999999999997,0.12075000000000001,0.16640000000000002,0.8664500000000002
179,0.0,0.034499999999999996,0.011899999999999997,0.11574999999999999,0.12545,0.6953
180,0.0,0.0148,0.013049999999999999,0.11624999999999999,0.19835,0.89375
181,0.0,0.0264,0.013699999999999999,0.10815000000000001,0.11515,0.6355500000000001
182,0.0,0.010499999999999999,0.005399999999999999,0.060200000000000004,0.07175,0.27734999999999993
183,0.0,0.0271,0.012299999999999998,0.10160000000000001,0.11275,0.6845499999999999
184,0.0,0.017050000000000003,0.010100000000000001,0.10064999999999999,0.1398,0.6784499999999999
185,0.0,0.02075,0.01245,0.1086,0.09294999999999999,0.63235
186,0.0,0.02775,0.00785,0.11370000000000001,0.11555,0.6630999999999999
187,0.0,0.0211,0.01425,0.18105000000000002,0.11489999999999999,0.64585
188,0.0,0.0354,0.021600000000000005,0.1873,0.2869,0.66645
189,0.0,0.09145,0.0437,0.3828999999999999,0.219,0.8775499999999999
190,0.0,0.31545,0.09145,0.09624999999999999,0.16824999999999998,3.1345000000000005
191,0.0,1.6223999999999998,1.83235,0.0703,0.1276,1.7822
192,0.0,1.9208500000000002,1.02735,0.06225,0.6594500000000001,1.3507500000000001
193,0.0,3.2511499999999995,0.81755,0.6986500000000001,0.7872499999999999,1.6513499999999999
194,0.0,1.49915,1.6456499999999998,0.18245,0.6291,0.88575
195,0.0,1.77665,1.0860500000000002,0.24899999999999997,0.5972999999999999,1.2288499999999998
196,0.0,1.65765,1.2206000000000001,0.12424999999999999,0.22355000000000003,0.21065
197,0.0,1.3177499999999998,1.677,0.21655000000000002,0.28855,0.6475
198,0.0,1.9873,1.5910999999999997,0.16924999999999998,0.3992,0.5162000000000001
